,sequence,verbose,loss,fid
2048,"(2, 10, 2, 10, 3)","0-1, 2-3, 0-1, 2-3, 0-2",2.256652296243969e-13,0.9999999999997751
7155,"(10, 3, 10, 2, 7)","2-3, 0-2, 2-3, 0-1, 1-3",2.318176315689763e-13,0.9999999999997684
1167,"(2, 2, 4, 10, 4)","0-1, 0-1, 0-3, 2-3, 0-3",2.339529020185692e-13,0.9999999999997663
6802,"(10, 2, 2, 7, 10)","2-3, 0-1, 0-1, 1-3, 2-3",2.3463292065260053e-13,0.9999999999997654
4824,"(6, 3, 7, 4, 6)","1-2, 0-2, 1-3, 0-3, 1-2",2.3509439332464557e-13,0.9999999999997644
7588,"(10, 7, 2, 10, 4)","2-3, 1-3, 0-1, 2-3, 0-3",2.3633808306896853e-13,0.9999999999997639
2976,"(3, 7, 2, 4, 3)","0-2, 1-3, 0-1, 0-3, 0-2",2.3591855888879263e-13,0.9999999999997637
1570,"(2, 4, 6, 10, 2)","0-1, 0-3, 1-2, 2-3, 0-1",2.3637260548375527e-13,0.9999999999997631
3224,"(3, 10, 3, 4, 2)","0-2, 2-3, 0-2, 0-3, 0-1",2.36952136497243e-13,0.9999999999997631
6926,"(10, 2, 7, 3, 6)","2-3, 0-1, 1-3, 0-2, 1-2",2.445240037258308e-13,0.9999999999997555
2411,"(3, 2, 10, 7, 3)","0-2, 0-1, 2-3, 1-3, 0-2",2.454678895244119e-13,0.9999999999997548
5361,"(6, 7, 4, 7, 10)","1-2, 1-3, 0-3, 1-3, 2-3",2.459976221625227e-13,0.9999999999997542
4430,"(4, 10, 6, 7, 4)","0-3, 2-3, 1-2, 1-3, 0-3",2.493033296823626e-13,0.9999999999997516
6284,"(7, 6, 3, 4, 7)","1-3, 1-2, 0-2, 0-3, 1-3",2.537189467699641e-13,0.9999999999997469
5155,"(6, 6, 4, 2, 7)","1-2, 1-2, 0-3, 0-1, 1-3",2.5527433079164764e-13,0.9999999999997442
5561,"(6, 10, 6, 2, 7)","1-2, 2-3, 1-2, 0-1, 1-3",2.5761075073516023e-13,0.9999999999997422
3879,"(4, 4, 7, 10, 6)","0-3, 0-3, 1-3, 2-3, 1-2",2.5800500923196144e-13,0.9999999999997417
4805,"(6, 3, 6, 10, 4)","1-2, 0-2, 1-2, 2-3, 0-3",2.599228788950199e-13,0.9999999999997407
6506,"(7, 7, 4, 10, 3)","1-3, 1-3, 0-3, 2-3, 0-2",2.609536391416061e-13,0.9999999999997387
5073,"(6, 4, 10, 4, 2)","1-2, 0-3, 2-3, 0-3, 0-1",2.6853405034167187e-13,0.9999999999997314
7401,"(10, 6, 2, 10, 7)","2-3, 1-2, 0-1, 2-3, 1-3",2.7333673604613507e-13,0.9999999999997279
4976,"(6, 4, 4, 6, 10)","1-2, 0-3, 0-3, 1-2, 2-3",2.7307919881230614e-13,0.9999999999997268
5943,"(7, 3, 6, 3, 4)","1-3, 0-2, 1-2, 0-2, 0-3",2.787089787172602e-13,0.9999999999997219
7158,"(10, 3, 10, 3, 6)","2-3, 0-2, 2-3, 0-2, 1-2",2.7890177258716557e-13,0.9999999999997211
3145,"(3, 7, 10, 2, 4)","0-2, 1-3, 2-3, 0-1, 0-3",2.790994242678992e-13,0.9999999999997208
5530,"(6, 10, 4, 3, 6)","1-2, 2-3, 0-3, 0-2, 1-2",2.7971824310535e-13,0.9999999999997199
3314,"(3, 10, 7, 3, 6)","0-2, 2-3, 1-3, 0-2, 1-2",2.8088125710502004e-13,0.9999999999997189
2136,"(2, 10, 6, 3, 10)","0-1, 2-3, 1-2, 0-2, 2-3",2.810696197122211e-13,0.9999999999997186
7207,"(10, 4, 2, 7, 10)","2-3, 0-3, 0-1, 1-3, 2-3",2.836591176494915e-13,0.9999999999997163
7741,"(10, 7, 10, 7, 4)","2-3, 1-3, 2-3, 1-3, 0-3",2.836676070813909e-13,0.9999999999997163
4804,"(6, 3, 6, 10, 3)","1-2, 0-2, 1-2, 2-3, 0-2",2.84249149914109e-13,0.999999999999716
