sequences,seq_str,occur,freq
"[7, 3, 10, 2, 0, 0, 0, 0, 0, 0]","1-3, 0-2, 2-3, 0-1",1,0.001
"[4, 7, 10, 4, 10, 0, 0, 0, 0, 0]","0-3, 1-3, 2-3, 0-3, 2-3",1,0.001
"[2, 4, 7, 3, 10, 0, 0, 0, 0, 0]","0-1, 0-3, 1-3, 0-2, 2-3",1,0.001
"[3, 4, 10, 7, 6, 0, 0, 0, 0, 0]","0-2, 0-3, 2-3, 1-3, 1-2",1,0.001
"[7, 10, 3, 6, 10, 0, 0, 0, 0, 0]","1-3, 2-3, 0-2, 1-2, 2-3",1,0.001
"[3, 3, 4, 4, 2, 10, 4, 0, 0, 0]","0-2, 0-2, 0-3, 0-3, 0-1, 2-3, 0-3",1,0.001
"[4, 7, 6, 7, 7, 4, 10, 0, 0, 0]","0-3, 1-3, 1-2, 1-3, 1-3, 0-3, 2-3",1,0.001
"[4, 3, 2, 7, 4, 0, 0, 0, 0, 0]","0-3, 0-2, 0-1, 1-3, 0-3",1,0.001
"[10, 7, 4, 10, 0, 0, 0, 0, 0, 0]","2-3, 1-3, 0-3, 2-3",1,0.001
"[4, 3, 7, 10, 6, 0, 0, 0, 0, 0]","0-3, 0-2, 1-3, 2-3, 1-2",1,0.001
"[2, 4, 7, 7, 7, 7, 10, 0, 0, 0]","0-1, 0-3, 1-3, 1-3, 1-3, 1-3, 2-3",1,0.001
"[4, 2, 7, 4, 10, 0, 0, 0, 0, 0]","0-3, 0-1, 1-3, 0-3, 2-3",1,0.001
"[2, 10, 3, 4, 3, 6, 7, 0, 0, 0]","0-1, 2-3, 0-2, 0-3, 0-2, 1-2, 1-3",1,0.001
"[2, 7, 2, 2, 3, 10, 0, 0, 0, 0]","0-1, 1-3, 0-1, 0-1, 0-2, 2-3",1,0.001
"[4, 2, 10, 7, 4, 0, 0, 0, 0, 0]","0-3, 0-1, 2-3, 1-3, 0-3",1,0.001
"[7, 4, 7, 4, 7, 10, 0, 0, 0, 0]","1-3, 0-3, 1-3, 0-3, 1-3, 2-3",1,0.001
"[7, 4, 3, 7, 7, 6, 0, 0, 0, 0]","1-3, 0-3, 0-2, 1-3, 1-3, 1-2",1,0.001
