N_entangling,fid_sampler,purity_sampler,fid_sampler_to_NN_approx,fid_sampler_no_readout,purity_sampler_no_readout,fid_sampler_no_readout_to_NN_approx,fid_noisy_state_sim,purity_noisy_state_sim,fid_noisy_state_sim_to_NN_approx,fid_ideal,purity_ideal,N_entangling_sampler,N_entangling_sampler_no_readout,N_entangling_noisy_rho,N_entangling_ideal_rho
3.0,0.6739349943614078,0.6184278623430866,0.7786317234734894,0.8247295474147369,0.9185943499879979,0.9581230659936846,0.8246469064881015,0.917037347531138,0.9573418204893815,0.8612266099886381,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.6492309331639041,0.5815282071460064,0.7550778094741202,0.8186484763501616,0.9104010423502051,0.9538330015759728,0.8177328374726678,0.9097233640712834,0.953500935707813,0.8576228846452436,0.9999999999999989,3.0,3.0,3.0,3.0
3.0,0.6817068626085069,0.5720845332993463,0.748509818286317,0.8673263878001103,0.908373843450117,0.9527547387006997,0.868533746634458,0.909927588007078,0.9536147471817454,0.910742037981233,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.6688547212576724,0.6066877273505618,0.7713142325614046,0.83021958366203,0.9113708405053111,0.9543480754895237,0.8296300295492646,0.9110846984409733,0.9542234454590643,0.8694631168707803,1.0000000000000022,3.0,3.0,3.0,3.0
3.0,0.7087045122674143,0.5771623940264076,0.752022676356036,0.8987770821357006,0.9124958818640507,0.9549717446295496,0.8978965107764185,0.910456952654421,0.9539175281802068,0.9411666804268591,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.6010813714219296,0.5595128406881169,0.7408186511862481,0.7701765128978977,0.9033185915841333,0.9500950669617529,0.7714593695060389,0.9068247637342214,0.9519190197870837,0.8104722779625623,0.9999999999999998,3.0,3.0,3.0,3.0
3.0,0.5098203470190277,0.629027816257445,0.7852520195940251,0.6232665839437119,0.925145167556874,0.9615892018453629,0.6229660455378452,0.9233284816971072,0.9606762513580062,0.6488161448842843,1.0000000000000002,3.0,3.0,3.0,3.0
3.0,0.6542245599403645,0.6518804183979392,0.8018116016565289,0.7822078974540942,0.9253878799664976,0.9617328641242757,0.7837955234910791,0.9287484551303197,0.9635063029156914,0.8135370505376879,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.39832444437290326,0.595268492330665,0.7645277311572042,0.5004998583676743,0.9107834810888842,0.9540636626637374,0.5003633815011597,0.9086944649450427,0.9529959980798551,0.5257052385811332,0.9999999999999993,3.0,3.0,3.0,3.0
3.0,0.521059355078083,0.5505588947483103,0.7346592617912002,0.672036141864778,0.900852622516649,0.948843634826934,0.6718938458173837,0.9040904934506149,0.9505782670770988,0.7067421310510955,0.9999999999999993,3.0,3.0,3.0,3.0
3.0,0.5422579343569319,0.565014951357994,0.7439629028582477,0.694989534529902,0.9062834695264435,0.9516482161270216,0.6935443376293564,0.9035540400675555,0.9502208457696304,0.7298900297935659,1.0000000000000013,3.0,3.0,3.0,3.0
3.0,0.6277248618122502,0.5911839779161328,0.762047861212874,0.7903077024541345,0.9144561721913255,0.9559709186461123,0.7871596531398817,0.9090388070766754,0.9531857519084239,0.8259330597746163,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.6432573203740732,0.5913897462425908,0.7616942677740818,0.8051978416116535,0.9120710750128008,0.954735249299828,0.8055093954839002,0.9124311676148165,0.9549583290122272,0.8433208250484212,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.5444597898502425,0.5618659855337967,0.7420718279398374,0.6983719498025882,0.904968288272084,0.9509818858664116,0.6978249379487822,0.9053090503551923,0.9512338192290366,0.7333720813386884,0.9999999999999996,3.0,3.0,3.0,3.0
3.0,0.23675080599292375,0.6251599566878074,0.784316022771956,0.2698287371726962,0.917690918177769,0.9576934522336666,0.27049586841531875,0.925168943505869,0.961650221334367,0.27897598119118683,1.0,3.0,3.0,3.0,3.0
3.0,0.4711185239571548,0.6376145852848674,0.792658288526875,0.5668962851328383,0.9199846027495122,0.9589133233404682,0.5660872254234501,0.9148477241119719,0.9562150219085224,0.5917053794008249,0.9999999999999999,3.0,3.0,3.0,3.0
3.0,0.5556716115506201,0.5971752721006794,0.7659065287445274,0.6944894291586311,0.9237389273168342,0.9608332121322183,0.6940500245812805,0.9232099386792149,0.9605537105329105,0.7225589397671816,1.0000000000000018,3.0,3.0,3.0,3.0
3.0,0.6790221921372643,0.5760341217312996,0.7510302418221295,0.8674182469003882,0.9137407936039403,0.9555508243065702,0.8660202058754054,0.9110512404045481,0.9541536512040265,0.9074724505684291,1.0,3.0,3.0,3.0,3.0
3.0,0.5765948916021014,0.583849107724388,0.7553593909187235,0.7242441989975427,0.907144266529651,0.9521136026072741,0.7241582531479274,0.908399518490193,0.952835783357321,0.7599741112457139,1.0000000000000018,3.0,3.0,3.0,3.0
3.0,0.5858288062629313,0.6563063615960869,0.8042362723112435,0.7011067259340598,0.9314117307919744,0.9648732869424488,0.6994819991472471,0.9280909384941862,0.9631193102096856,0.7260514094278524,1.0000000000000009,3.0,3.0,3.0,3.0
3.0,0.5369982268014328,0.5906211690615883,0.7601758089838122,0.6698561459650296,0.9062698077715361,0.9516491250604342,0.6698106440861491,0.9057568807551901,0.9513806846566681,0.7038928164670025,1.0000000000000004,3.0,3.0,3.0,3.0
3.0,0.691636973484358,0.6327725240094422,0.7883097130786814,0.8401499861015338,0.9179977757863957,0.9578298447667623,0.8395122616158939,0.9176029089621558,0.9576780055034366,0.8767175490863923,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.5507763761010023,0.5790050742476713,0.7530946990967462,0.694417851407408,0.9066511698193853,0.9518759900735715,0.6943024722827247,0.9064917879028108,0.951828319251528,0.7292833603276769,1.0000000000000007,3.0,3.0,3.0,3.0
3.0,0.5481416174825984,0.5995326555913495,0.765325499881899,0.6825916862824235,0.9139562019301131,0.9556880264528939,0.6825242327890716,0.9160474257449329,0.9568305940251352,0.7130242410176728,1.0000000000000002,3.0,3.0,3.0,3.0
